VECTRAS-VM-ANDROID — RELATÓRIO COMPLETO DE BUGS, ERROS, FALHAS E INCONSISTÊNCIAS
Do maior ao menor volume de ocorrências. Formato: descrição breve | linha | path/arquivo
==================================================================================


════════════════════════════════════════════════════════════════
BLOCO 1 — IDs DUPLICADOS EM LAYOUTS XML (79 IDs repetidos)
IDs idênticos em múltiplos arquivos de layout causam crash silencioso em
findViewById e comportamento imprevisível em fragments reutilizados.
════════════════════════════════════════════════════════════════

1.  ID "toolbar" duplicado em múltiplos layouts                     | vários  | app/src/main/res/layout/
2.  ID "title" duplicado em múltiplos layouts                       | vários  | app/src/main/res/layout/
3.  ID "progressIndicator" duplicado                                | vários  | app/src/main/res/layout/
4.  ID "appbar" duplicado                                           | vários  | app/src/main/res/layout/
5.  ID "header" duplicado                                           | vários  | app/src/main/res/layout/
6.  ID "icon" duplicado                                             | vários  | app/src/main/res/layout/
7.  ID "main" duplicado                                             | vários  | app/src/main/res/layout/
8.  ID "scrollView" duplicado                                       | vários  | app/src/main/res/layout/
9.  ID "drawer_layout" duplicado                                    | vários  | app/src/main/res/layout/
10. ID "description_text" duplicado                                 | vários  | app/src/main/res/layout/
11. ID "dpad" duplicado                                             | vários  | app/src/main/res/layout/
12. ID "drag_handle" duplicado                                      | vários  | app/src/main/res/layout/
13. ID "ivIcon" duplicado                                           | vários  | app/src/main/res/layout/
14. ID "iv_open_terminal" duplicado                                 | vários  | app/src/main/res/layout/
15. ID "iv_error_large" duplicado                                   | vários  | app/src/main/res/layout/
16. ID "collapsingToolbarLayout" duplicado                          | vários  | app/src/main/res/layout/
17. ID "btn_copy" duplicado                                         | vários  | app/src/main/res/layout/
18. ID "btn_export_diagnostic" duplicado                            | vários  | app/src/main/res/layout/
19. ID "btn_retry_setup" duplicado                                  | vários  | app/src/main/res/layout/
20. ID "btn_rollback_setup" duplicado                               | vários  | app/src/main/res/layout/
21. ID "btn_allow_permission" duplicado                             | vários  | app/src/main/res/layout/
22. ID "btn_let_start" duplicado                                    | vários  | app/src/main/res/layout/
23. ID "btn_skip_system_update" duplicado                           | vários  | app/src/main/res/layout/
24. ID "btn_system_update" duplicado                                | vários  | app/src/main/res/layout/
25. ID "buttontryagain" duplicado                                   | vários  | app/src/main/res/layout/
26. ID "bn_update" duplicado                                        | vários  | app/src/main/res/layout/
27. ID "cd_commandsetup" duplicado                                  | vários  | app/src/main/res/layout/
28. ID "cd_install_status" duplicado                                | vários  | app/src/main/res/layout/
29. ID "clear_all_button" duplicado                                 | vários  | app/src/main/res/layout/
30. ID "cpi_extracting_system_files" duplicado                      | vários  | app/src/main/res/layout/
31. ID "cpi_getting_data" duplicado                                 | vários  | app/src/main/res/layout/
32. ID "cpi_installing_packages" duplicado                          | vários  | app/src/main/res/layout/
33. ID "custom_setup_option" duplicado                              | vários  | app/src/main/res/layout/
34. ID "custom_setup_option_arrow" duplicado                        | vários  | app/src/main/res/layout/
35. ID "dpad" duplicado                                             | vários  | app/src/main/res/layout/
36. ID "language_modules_recycler" duplicado                        | vários  | app/src/main/res/layout/
37. ID "layoutProgress" duplicado                                   | vários  | app/src/main/res/layout/
